id:,name,englishName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,massValue,massExponent,volValue,volExponent,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,aroundPlanet,discoveredBy,discoveryDate,alternativeName,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode
lune,La Lune,Moon,FALSE,384400,363300,405500,0.0549,5.145,7.346,22,2.1968,10,3.344,1.62,2380,33,1738.1,1736,0.0012,,27.3217,655.728,terre,,,,6.68,0,0,0,0
phobos,Phobos,Phobos,FALSE,9376,9234,9518,0.0151,1.075,1.06,16,5.78361,3,1.9,0.0057,11.39,33,13,9.1,0,26.8 Ã— 22.4 Ã— 18.4,0.31891,0.7653,mars,Asaph Hall,12/08/1877,,0,0,0,0,0
deimos,DeÃ¯mos,Deimos,FALSE,23458,23456,23471,0.0002,1.075,2.4,15,9.9978,3,1.75,0.003,5.556,33,7.8,5.1,0,15.0 Ã— 12 Ã— 10.4,1.26244,30.29856,mars,Asaph Hall,12/08/1877,,0,0,0,0,0
io,Io,Io,FALSE,421800,0,0,0.004,0.036,8.932,22,0,1,3.53,1.79,0,1821.5,0,0,0,,1.76914,42.4593,jupiter,Galileo Galilei,07/01/1610,,0,0,0,0,0
europe,Europe,Europa,FALSE,671100,0,0,0.009,0.466,4.8,22,0,1,3.01,1.31,0,1560.8,0,0,0,,3.55118,85.2293,jupiter,Galileo Galilei,08/01/1610,,0,0,0,0,0
ganymede,GanymÃ¨de,Ganymede,FALSE,1070400,0,0,0.001,0.177,1.4819,23,0,1,1.94,1.428,0,2631.2,0,0,0,,7.15455,171.7093,jupiter,Galileo Galilei,11/01/1610,,0,0,0,0,0
callisto,Callisto,Callisto,FALSE,1882700,0,0,0.007,0.192,1.0759,23,0,1,1.83,1.235,0,2410.3,0,0,0,,16.68902,400.536,jupiter,Galileo Galilei,07/01/1610,,0,0,0,0,0
amalthee,AmalthÃ©e,Amalthea,FALSE,181400,181150,182840,0.003,0.38,7.5,18,0,1,3.1,0.02,0,84,0,0,0,125 x 73 x 64,0.49818,11.9563,jupiter,E. Barnard,09/09/1892,,0,0,0,0,0
himalia,Himalia,Himalia,FALSE,11461000,9782900,13082000,0.162,27.5,9.5,18,0,1,1,0.062,0,85,0,0,0,,250.5662,7.7808,jupiter,C. Perrine,03/12/1904,,0,0,0,0,0
elara,Ã‰lara,Elara,FALSE,11741000,0,0,0.217,26.63,8,17,0,1,1,0.031,0,40,0,0,0,,259.6528,0,jupiter,C. Perrine,02/01/1905,,0,0,0,0,0
pasiphae,PasiphaÃ©,Pasiphae,FALSE,23624000,0,0,0.409,151.4,3,17,0,1,1,0.022,0,18,0,0,0,,743.6,0,jupiter,P. Melotte,27/01/1908,,0,0,0,0,0
sinope,SinopÃ©,Sinope,FALSE,23939000,0,0,0.25,158.1,8,16,0,1,1,0.014,0,14,0,0,0,,758.9,0,jupiter,Seth Barnes Nicholson,21/07/1914,,0,0,0,0,0
lysithea,LysithÃ©a,Lysithea,FALSE,11717000,0,0,0.112,28.3,8,16,0,1,1,0.013,0,12,0,0,0,,259.22,0,jupiter,Seth Barnes Nicholson,06/07/1938,,0,0,0,0,0
carme,CarmÃ©,Carme,FALSE,23404000,0,0,0.253,164.9,1,17,0,1,1,0.017,0,15,0,0,0,,734.2,0,jupiter,Seth Barnes Nicholson,30/07/1938,,0,0,0,0,0
ananke,AnankÃ©,Ananke,FALSE,21276000,0,0,0.244,148.9,4,16,0,1,1,0.01,0,10,0,0,0,,629.8,0,jupiter,Seth Barnes Nicholson,28/09/1951,,0,0,0,0,0
leda,LÃ©da,Leda,FALSE,11165000,0,0,0.164,27.46,6,17,0,1,1,0.0073,0,5,0,0,0,,240.92,0,jupiter,Charles Kowa,11/09/1974,,0,0,0,0,0
thebe,ThÃ©bÃ©,Thebe,FALSE,221900,218000,226000,0.018,1.08,8,17,0,1,1,0.02,0,49,0,0,0,58 x 49 x 42,0.6745,16.188,jupiter,Stephen P. Synnott,05/03/1979,S/1979 J 2,0,0,0,0,0
adrastee,AdrastÃ©e,Adrastea,FALSE,129000,0,0,0.002,0.054,2,15,0,1,1,0.002,0,8,0,0,0,10 x 8 x 7,0.29826,0.7158,jupiter,David C. Jewitt,08/07/1979,S/1979 J 1,0,0,0,0,0
metis,MÃ©tis,Metis,FALSE,128000,127974,128026,0.001,0.019,1,17,0,1,1,0.005,0,22,0,0,0,30 x 20 x 17,0.29478,0.7075,jupiter,Stephen P. Synnott,04/03/1979,S/1979 J 3,0,0,0,0,0
callirrhoe,CallirrhoÃ©,Callirrhoe,FALSE,24102000,0,0,0.283,147.1,8.7,14,0,1,1,0.0031,0,4,0,0,0,,758.8,0,jupiter,J.V. Scott,06/10/1999,S/1999 J 1,0,0,0,0,0
themisto,ThÃ©misto,Themisto,FALSE,7507000,5909000,8874300,0.242,43.08,6.9,14,0,1,1,0.0029,0,4,0,0,0,,130.02,0,jupiter,Charles Kowal 1975 - Scott S. Sheppard,30/09/1975,S/1975 J 1,0,0,0,0,0
megaclite,MÃ©gaclitÃ©,Megaclite,FALSE,14146700,0,0,0.421,152.8,2.1,14,0,1,1,0,0,2.7,0,0,0,,752.8,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 8,0,0,0,0,0
taygete,TaygÃ©tÃ©,Taygete,FALSE,23363000,0,0,0.252,165.2,1.6,14,0,1,1,0,0,2.5,0,0,0,,732.2,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 9,0,0,0,0,0
chaldene,ChaldÃ©nÃ©,Chaldene,FALSE,23179000,0,0,0.251,165.2,7.5,13,0,1,1,0,0,1.9,0,0,0,,723.8,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 10,0,0,0,0,0
harpalyke,HarpalykÃ©,Harpalyke,FALSE,21104000,0,0,0.226,148.6,1.2,14,0,1,1,0,0,2.2,0,0,0,,623.3,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 5,0,0,0,0,0
kalyke,KalykÃ©,Kalyke,FALSE,23564000,0,0,0.245,165.2,1.9,14,0,1,1,0,0,2.6,0,0,0,,743,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 2,0,0,0,0,0
iocaste,IocastÃ©,Iocaste,FALSE,21272000,0,0,0.216,149.4,1.9,14,0,1,1,0,0,2.6,0,0,0,,631.5,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 3,0,0,0,0,0
erinome,ErinomÃ©,Erinome,FALSE,23283000,0,0,0.266,164.9,4.5,13,0,1,1,0,0,1.6,0,0,0,,728.3,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 4,0,0,0,0,0
isonoe,IsonoÃ©,Isonoe,FALSE,23231000,0,0,0.246,165.2,7.5,13,0,1,1,0,0,1.9,0,0,0,,725.5,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 6,0,0,0,0,0
praxidike,PraxidykÃ©,Praxidike,FALSE,21148000,0,0,0.23,149,4.3,14,0,1,1,0,0,3.4,0,0,0,,625.3,0,jupiter,Scott S. Sheppard,23/11/2000,S/2000 J 7,0,0,0,0,0
autonoe,AutonoÃ©,Autonoe,FALSE,24033000,0,0,0.334,152.9,9,13,0,1,1,0.0015,0,2,0,0,0,,715.4,0,jupiter,Scott S. Sheppard,10/12/2001,S/2001 J 1,0,0,0,0,0
thyone,ThyonÃ©,Thyone,FALSE,21192000,0,0,0.229,148.5,9,13,0,1,1,0.0015,0,2,0,0,0,,627.3,0,jupiter,Scott S. Sheppard,11/12/2001,S/2001 J 2,0,0,0,0,0
hermippe,HermippÃ©,Hermippe,FALSE,21300000,0,0,0.21,150.7,9,13,0,1,1,0.0015,0,2,0,0,0,,633.9,0,jupiter,Scott S. Sheppard,19/12/2001,S/2001 J 3,0,0,0,0,0
aitne,AitnÃ©,Aitne,FALSE,23315000,0,0,0.264,165.1,4.5,13,0,1,1,0.0012,0,1.5,0,0,0,,730.2,0,jupiter,Scott S. Sheppard,19/12/2001,S/2001 J 11,0,0,0,0,0
eurydome,EurydomÃ©,Eurydome,FALSE,23148000,0,0,0.276,150.3,4.5,13,0,1,1,0.0012,0,1.5,0,0,0,,723.9,0,jupiter,Scott S. Sheppard,19/12/2001,S/2001 J 4,0,0,0,0,0
euanthe,EuanthÃ©,Euanthe,FALSE,21038000,0,0,0.232,148.9,4.5,13,0,1,1,0.0012,0,1.5,0,0,0,,620.6,0,jupiter,Scott S. Sheppard,11/12/2001,S/2001 J 7,0,0,0,0,0
euporie,Euporie,Euporie,FALSE,19339000,0,0,0.144,145.8,1.5,13,0,1,1,0,0,1,0,0,0,,553.1,0,jupiter,Scott S. Sheppard,11/12/2001,S/2001 J 10,0,0,0,0,0
orthosie,Orthosie,Orthosie,FALSE,21164000,0,0,0.281,145.9,1.5,13,0,1,1,0.00081,0,1,0,0,0,,622.6,0,jupiter,Scott S. Sheppard,11/12/2001,S/2001 J 9,0,0,0,0,0
sponde,SpondÃ©,Sponde,FALSE,23790000,0,0,0.312,151,1.5,13,0,1,1,0.00081,0,1,0,0,0,,748.3,0,jupiter,Scott S. Sheppard,19/12/2001,S/2001 J 5,0,0,0,0,0
cale,CalÃ©,Kale,FALSE,23302000,0,0,0.26,165,1.5,13,0,1,1,0.00081,0,1,0,0,0,,729.5,0,jupiter,Scott S. Sheppard,19/12/2001,S/2001 J 8,0,0,0,0,0
pasithee,PasithÃ©e,Pasithee,FALSE,23090000,0,0,0.267,165.1,1.5,13,0,1,1,0.00081,0,1,0,0,0,,716.3,0,jupiter,Scott S. Sheppard,11/12/2001,S/2001 J 6,0,0,0,0,0
hegemone,HÃ©gÃ©mone,Hegemone,FALSE,23566000,0,0,0.328,155.2,4.5,13,0,1,1,0,0,2,0,0,0,,739.6,0,jupiter,Scott S. Sheppard,2003,S/2003 J 8,0,0,0,0,0
mneme,MnÃ©mÃ©,Mneme,FALSE,21036000,0,0,0.227,148.6,1.5,13,0,1,1,0,0,2,0,0,0,,620,0,jupiter,Scott S. Sheppard,2003,S/2003 J 21,0,0,0,0,0
aoede,AoedÃ©,Aoede,FALSE,23969000,0,0,0.432,158.3,9,13,0,1,1,0,0,2,0,0,0,,761.5,0,jupiter,Scott S. Sheppard,2003,S/2003 J 7,0,0,0,0,0
thelxinoe,ThelxinoÃ©,Thelxinoe,FALSE,21165000,0,0,0.221,151.4,1.5,13,0,1,1,0,0,2,0,0,0,,628.1,0,jupiter,Scott S. Sheppard,2003,S/2003 J 22,0,0,0,0,0
arche,ArchÃ©,Arche,FALSE,23355000,0,0,0.259,165,4.15,13,0,1,1,0.0012,0,1.5,0,0,0,,762.7,0,jupiter,Scott S. Sheppard,31/10/2002,S/2002 J 1,0,0,0,0,0
callichore,Callichore,Kallichore,FALSE,23273000,0,0,0.264,165.5,1.5,13,0,1,1,0,0,2,0,0,0,,764.7,0,jupiter,Scott S. Sheppard,2003,S/2003 J 11,0,0,0,0,0
helice,HÃ©licÃ©,Helike,FALSE,21064000,0,0,0.156,154.8,9,13,0,1,1,0,0,4,0,0,0,,634.8,0,jupiter,Scott S. Sheppard,2003,S/2003 J 6,0,0,0,0,0
carpo,Carpo,Carpo,FALSE,17078000,0,0,0.43,51.4,4.5,13,0,1,1,0,0,3,0,0,0,,456.1,0,jupiter,Scott S. Sheppard,2003,S/2003 J 20,0,0,0,0,0
eukelade,EukÃ©ladÃ©,Eukelade,FALSE,23322000,0,0,0.272,165.5,9,13,0,1,1,0,0,4,0,0,0,,746.4,0,jupiter,Scott S. Sheppard,2003,S/2003 J 1,0,0,0,0,0
cyllene,CyllÃ¨ne,Cyllene,FALSE,23787000,0,0,0.319,149.3,1.5,13,0,1,1,0,0,1,0,0,0,,737.8,0,jupiter,Scott S. Sheppard,2003,S/2003 J 13,0,0,0,0,0
core,CorÃ©,Kore,FALSE,24486000,0,0,0.325,145,1.5,13,0,1,1,0,0,1,0,0,0,,779.2,0,jupiter,Scott S. Sheppard,2003,S/2003 J 14,0,0,0,0,0
herse,HersÃ©,Herse,FALSE,23405000,0,0,0.2,164.2,1.5,13,0,1,1,0,0,2,0,0,0,,717.3,0,jupiter,Scott S. Sheppard,2003,S/2003 J 17,0,0,0,0,0
s2003j2,S/2003 J 2,S/2003 J 2,FALSE,28332000,0,0,0.38,151.8,1.5,13,0,1,1,0,0,1,0,0,0,,982.5,0,jupiter,Scott S. Sheppard,2003,S/2003 J 2,0,0,0,0,0
eupheme,EuphÃ©mÃ©,Eupheme,FALSE,20230000,0,0,0.253,148,1.5,13,0,1,1,0,0,1,0,0,0,,504,0,jupiter,Scott S. Sheppard,2003,S/2003 J 3,0,0,0,0,0
s2003j4,S/2003 J 4,S/2003 J 4,FALSE,23928000,0,0,0.204,144.9,1.5,13,0,1,1,0,0,1,0,0,0,,723.2,0,jupiter,Scott S. Sheppard,2003,S/2003 J 4,0,0,0,0,0
eirene,EirÃ©nÃ©,Eirene,FALSE,23493000,0,0,0.22,163.1,9,13,0,1,1,0,0,2,0,0,0,,759.7,0,jupiter,Scott S. Sheppard,2003,S/2003 J 5,0,0,0,0,0
s2003j9,S/2003 J 9,S/2003 J 9,FALSE,23385000,0,0,0.269,164.5,1.5,12,0,1,1,0,0,0.5,0,0,0,,683,0,jupiter,Scott S. Sheppard,2003,S/2003 J 9,0,0,0,0,0
s2003j10,S/2003 J 10,S/2003 J 10,FALSE,23042000,0,0,0.214,164.1,1.5,13,0,1,1,0,0,1,0,0,0,,767,0,jupiter,Scott S. Sheppard,2003,S/2003 J 10,0,0,0,0,0
s2003j12,S/2003 J 12,S/2003 J 12,FALSE,17835000,0,0,0.376,145.8,1,12,0,1,1,0,0,0.5,0,0,0,,533.3,0,jupiter,Scott S. Sheppard,2003,S/2003 J 12,0,0,0,0,0
philophrosyne,Philophrosyne,Philophrosyne,FALSE,22622000,0,0,0.194,143.6,1.5,13,0,1,1,0,0,1,0,0,0,,668.4,0,jupiter,Scott S. Sheppard,2003,S/2003 J 15,0,0,0,0,0
s2003j16,S/2003 J 16,S/2003 J 16,FALSE,20948000,0,0,0.23,148.5,1.5,13,0,1,1,0,0,1,0,0,0,,595.4,0,jupiter,Scott S. Sheppard,2003,S/2003 J 16,0,0,0,0,0
s2003j18,S/2003 J 18,S/2003 J 18,FALSE,20494000,0,0,0.105,146.4,1.5,13,0,1,1,0,0,1,0,0,0,,606.3,0,jupiter,Scott S. Sheppard,2003,S/2003 J 18,0,0,0,0,0
s2003j19,S/2003 J 19,S/2003 J 19,FALSE,23532000,0,0,0.334,162.9,1.5,13,0,1,1,0,0,1,0,0,0,,701.3,0,jupiter,Scott S. Sheppard,2003,S/2003 J 19,0,0,0,0,0
s2003j23,S/2003 J 23,S/2003 J 23,FALSE,23549000,0,0,0.309,149.2,1.5,13,0,1,1,0.00081,0,1,0,0,0,,759.7,0,jupiter,Scott S. Sheppard,2003,S/2003 J 23,0,0,0,0,0
mimas,Mimas,Mimas,FALSE,185539,181770,189270,0.0202,1.53,3.79,19,0,1,1.15,0,0,396.4,0,0,0,415Ã—394Ã—381,0.94,22.56,saturne,William Herschel,17/09/1789,,0,0,0,0,0
encelade,Encelade,Enceladus,FALSE,238037,236830,239066,0.0045,0,1.08,20,0,1,1.61,0,0,504.2,0,0,0,,1.37,32.88,saturne,William Herschel,28/08/1789,,0,0,0,0,0
tethys,TÃ©thys,Tethys,FALSE,294672,294589,294648,0,1.86,6.18,20,0,1,0.985,0,0,1066,0,0,0,,1.89,45.312,saturne,Jean-Dominique Cassini,21/03/1684,,0,0,0,0,0
dione,DionÃ©,Dione,FALSE,377415,376580,378260,0.0022,0.02,1.095,21,0,1,1.48,0,0,1123.4,0,0,0,,2.74,0,saturne,Jean-Dominique Cassini,21/03/1684,,0,0,0,0,0
rhea,RhÃ©a,Rhea,FALSE,527068,526543,527597,0.001,0.35,2.3,21,0,1,1.24,0,0,1528.6,0,0,0,,4.518,108.432,saturne,Jean-Dominique Cassini,23/12/1672,,0,0,0,0,0
titan,Titan,Titan,FALSE,1221865,1186680,1257060,0.0292,0.33,1.3452,23,0,1,1.88,0,0,2575,0,0,0,,15.95,382.8,saturne,Christian Huygens,25/03/1655,,0,0,0,0,0
hyperion,HypÃ©rion,Hyperion,FALSE,1500934,1466112,1535756,0.1042,0.43,5.6,18,0,1,0.55,0,0,266,0,0,0,328Ã—260Ã—214,21.28,0,saturne,William Cranch Bond,16/09/1848,,0,0,0,0,0
japet,Japet,Iapetus,FALSE,3560851,3460068,3661612,0.0283,14.72,1.805,21,0,1,1.09,0,0,1471.2,0,0,0,,79.33,1735.92,saturne,Jean-Dominique Cassini,25/10/1671,,0,0,0,0,0
phoebe,PhÅ“bÃ©,Phoebe,FALSE,12947913,0,0,0.164,174.8,8.292,18,0,1,1.64,0,0,214.4,0,0,0,230Ã—220Ã—210,548.2,9.2736,saturne,William Henry Pickering,17/03/1899,,0,0,0,0,0
janus,Janus,Janus,FALSE,151460,0,0,0.007,0.14,1.9,18,0,1,0.63,0,0,33,0,0,0,195Ã—194Ã—152,0.7,0,saturne,Audouin Dollfus,15/12/1966,S/1980 S 1,0,0,0,0,0
epimethee,EpimÃ©thÃ©e,Epimetheus,FALSE,151410,0,0,0.009,0.34,5.3,17,0,1,0.64,0,0,113.4,0,0,0,116Ã—117Ã—106,0.69,0,saturne,Richard L. Walker,18/12/1966,S/1980 S 3,0,0,0,0,0
helene,HÃ©lÃ¨ne,Helene,FALSE,377420,0,0,0.005,0,2.4,16,0,1,1.3,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,saturne,Pierre Laques,01/03/1980,S/1980 S 6,0,0,0,0,0
telesto,TÃ©lesto,Telesto,FALSE,294710,0,0,0.001,1.158,1,16,0,1,1,0,0,33,0,0,0,30Ã—23Ã—14,1.89,0,saturne,Bradford A. Smith,08/04/1980,S/1980 S 13,0,0,0,0,0
calypso,Calypso,Calypso,FALSE,294710,0,0,0.001,1.473,6.5,15,0,1,1,0,0,33,0,0,0,31Ã—24Ã—21,1.89,0,saturne,Dan Pascu,13/03/1980,S/1980 S 25,0,0,0,0,0
